#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description
#,UNIX AND UNIX-LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,UNIX systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,MilaX,#FF8585,OpenSolaris,2007.12,2010.2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Nexenta OS,#FF8585,OpenSolaris,2005.11.20,2013.1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,NexentaStor,#8B0000,Nexenta OS,2007.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,OmniOS,#8B0000,OpenSolaris,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,OpenIndiana,#8B0000,OpenSolaris,2010.9.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,OpenSolaris,#8B0000,Solaris [Sun],2005.6.14,,,,Illumos,2010.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,SchilliX,#FF8585,OpenSolaris,2005.6.17,2012.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,SmartOS,#8B0000,OpenSolaris,2010.10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Tribblix,#8B0000,OpenSolaris,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Trusted Solaris [Sun],#FF8585,Solaris [Sun],1995,2012.3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Unleashed,#FF8585,OpenSolaris,2018.6,2020.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,BSD,#8B0000,UNICS [AT&T/Bell Labs],1977.12,,,,2BSD,1978.6,,2.11BSD,1992.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,3BSD,#FF8585,BSD,1979.12,2004.2.4,,,4BSD,1980.1,,4.2BSD,1983.8,,4.3BSD,1986.6,,4.3BSD Quasijarus,1998.12.27,,,,,,,,,,,,,,,,,,,,,,,,,
N,4.4BSD,#FF8585,Net/2,1992.7.7,1995.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,airyxOS,#8B0000,FreeBSD,2021,,,,ravynOS,2022.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,AOS [IBM],#FF8585,3BSD,1988,1995.12,,,AOS Reno,1992,,AOS Lite,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Bitrig,#FF8585,OpenBSD,2014,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,BSD Net/1 [Acorn],#FF8585,3BSD,1988,1991,,,RISC iX,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,BSD Net/2,#FF8585,3BSD,1990.11,2016.8,,,386BSD,1992.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,BSD/OS,#FF8585,4.4BSD,1995.1,2003.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CellOS [Sony Playstation 3],#8B0000,FreeBSD,2006.11,,,,OrbisOS [Sony Playstation 4],2013.11,,PlayStation 5 system software,2020.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
